property_type,category,new_construction,price,vat,postal_code,province,region,latitude,longitude,bedrooms,livable_surface,kitchen_equipment,bathrooms,toilets,floor,build_year,currently_leased,furnished,building_state,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,terrace,terrace_surface,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,flooding_area_type,demarcated_flooding_area,number_of_floors,availability,total_land_surface,access_for_disabled,entry_phone,attic,alarm,terrace_orientation,planning_permission_granted,security_door,rain_water_tank,fireplace,electric_charging_station,hammam_sauna_jacuzzi,domotica,nursery_nearest_walk_m,preschool_nearest_walk_m,elementary_school_nearest_walk_m,high_school_nearest_walk_m,bus_stop_nearest_walk_m,tram_stop_nearest_walk_m,train_station_nearest_walk_m,train_station_nearest_drive_m,motorway_nearest_drive_m,airport_nearest_drive_m,charging_station_nearest_drive_m,supermarket_nearest_walk_m,supermarket_count,car_sharing_nearest_walk_m,bike_sharing_nearest_walk_m,post_year,post_month
flat_studio,appartment,0,159000,0.0,8670,West Flanders,Flanders,51.1083644,2.6076405,1.0,55.0,,1.0,1.0,3.0,,0.0,0.0,Normal,,,,,,,1.0,,,0.0,,1.0,,1.0,,,,0.0,,1.0,no flooding area,(information not available),3.0,,,1.0,,0.0,1.0,,,,,,,,,1800.0,1800.0,1800.0,2400.0,632.0,479.0,4500.0,5100.0,6000.0,26100.0,2100.0,353.0,3.0,,437.0,2017,2
flat,appartment,1,356000,1.0,3500,Limburg,Flanders,50.9354807,5.3359107,2.0,100.0,,1.0,,4.0,,0.0,,New,,,1.0,,,FlandersDoubleA,0.0,,,1.0,,1.0,50.0,1.0,,,,,,1.0,(information not available),(information not available),7.0,,,,,,,,,,,,,,,1100.0,298.0,298.0,248.0,181.0,,957.0,1100.0,2400.0,,1100.0,485.0,3.0,543.0,627.0,2018,4
flat,appartment,1,637000,1.0,3500,Limburg,Flanders,50.9353863,5.3361143,3.0,167.0,,2.0,,6.0,,0.0,,New,,,,,,FlandersDoubleA,0.0,,South-west,1.0,,1.0,52.0,1.0,,,,,,,(information not available),(information not available),7.0,,,,,,,,,,,,,,,1100.0,310.0,310.0,260.0,169.0,,969.0,1000.0,2400.0,,1100.0,473.0,3.0,555.0,615.0,2018,7
flat,appartment,0,1335000,0.0,8670,West Flanders,Flanders,51.1328167,2.6702454,2.0,133.0,,2.0,1.0,5.0,,,0.0,To be renovated,,,,,,,0.0,,North-west,,,1.0,,1.0,,,,1.0,,1.0,no flooding area,(information not available),8.0,,,0.0,1.0,,,,,,,,,,,1700.0,2100.0,2100.0,2800.0,217.0,217.0,8200.0,8700.0,8500.0,21600.0,3600.0,167.0,3.0,,221.0,2018,7
flat,appartment,1,517000,1.0,3500,Limburg,Flanders,50.9358669,5.3363319,2.0,128.0,,1.0,,2.0,,0.0,,New,,,,,,FlandersDoubleA,0.0,,East,1.0,,1.0,34.0,1.0,,,,,,,(information not available),(information not available),3.0,,,,,,,,,,,,,,,1200.0,398.0,398.0,348.0,256.0,,1100.0,2200.0,5400.0,,2200.0,405.0,3.0,600.0,680.0,2018,8
flat,appartment,0,295000,0.0,8700,West Flanders,Flanders,50.9933558,3.3288892,2.0,80.0,Fully equipped,1.0,1.0,2.0,2016.0,0.0,,New,Gas,Double glass,,,,FlandersSingleA,1.0,,,0.0,,0.0,,,,,,,,1.0,no flooding area,(information not available),4.0,,,,1.0,,,,,,,,,,,486.0,221.0,221.0,38.0,280.0,,394.0,465.0,,32200.0,2100.0,311.0,3.0,394.0,413.0,2018,11
flat,appartment,0,305000,0.0,8700,West Flanders,Flanders,50.9933558,3.3288892,2.0,70.0,Fully equipped,1.0,1.0,2.0,2016.0,0.0,,New,Gas,Double glass,,,,FlandersSingleA,1.0,,,0.0,,0.0,,,,,,,,1.0,no flooding area,(information not available),4.0,,,,1.0,,,,,,,,,,,486.0,221.0,221.0,38.0,280.0,,394.0,465.0,,32200.0,2100.0,311.0,3.0,394.0,413.0,2019,2
penthouse,appartment,1,499000,1.0,3500,Limburg,Flanders,50.9353863,5.3361143,2.0,117.0,,1.0,,7.0,,0.0,,New,,,1.0,,,FlandersDoubleA,0.0,,South-west,1.0,,1.0,35.0,1.0,,,,,,,(information not available),(information not available),7.0,,,,1.0,,,,,,,,,,,1100.0,310.0,310.0,260.0,169.0,,969.0,1000.0,2400.0,,1100.0,473.0,3.0,555.0,615.0,2019,3
flat,appartment,1,451000,1.0,3500,Limburg,Flanders,50.9353863,5.3361143,2.0,120.0,,1.0,,5.0,,0.0,,New,,,,,,FlandersDoubleA,0.0,,South-west,1.0,,1.0,50.0,1.0,,,,,,,(information not available),(information not available),7.0,,,,,,,,,,,,,,,1100.0,310.0,310.0,260.0,169.0,,969.0,1000.0,2400.0,,1100.0,473.0,3.0,555.0,615.0,2019,3
villa,house,0,670000,0.0,1790,Flemish Brabant,Flanders,50.9084,4.11281,3.0,480.0,Super equipped,1.0,,,1995.0,0.0,0.0,Normal,Fuel oil,,,,,FlandersB,,4.0,,0.0,,0.0,,1.0,1.0,,,,1.0,0.0,possible flooding area,(information not available),,,1649.0,,,,,,,,,,,,,488.0,466.0,466.0,3600.0,414.0,,3600.0,3700.0,7400.0,,7100.0,846.0,3.0,4800.0,,2019,8
flat,appartment,0,279000,0.0,8700,West Flanders,Flanders,50.9933558,3.3288892,2.0,70.0,Fully equipped,1.0,1.0,1.0,2016.0,0.0,,New,Gas,Double glass,,,,FlandersSingleA,1.0,,,0.0,,0.0,,,,,,,,1.0,no flooding area,(information not available),4.0,,,,1.0,,,,,,,,,,,486.0,221.0,221.0,38.0,280.0,,394.0,465.0,,32200.0,2100.0,311.0,3.0,394.0,413.0,2019,9
house,house,0,1150000,0.0,1600,Flemish Brabant,Flanders,50.7842441,4.242743,8.0,715.0,,3.0,3.0,,,0.0,0.0,Normal,Fuel oil,,,,,FlandersC,1.0,4.0,,1.0,,1.0,,,,,4.0,,,0.0,possible flooding area,(information not available),,,1918.0,,,,,,,,,,,,,820.0,1200.0,1000.0,3800.0,398.0,,3500.0,3600.0,5100.0,31300.0,3200.0,3400.0,3.0,4900.0,,2019,10
