property_id,immovlan_id,url,source,scrape_date,date_posted,html_path,property_type,category,transaction_type,new_construction,price,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,livable_surface,number_of_kitchens,kitchen_equipment,bathrooms,showers,toilets,floor,build_year,currently_leased,furnished,building_state,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,number_of_floors,availability,total_land_surface,living_room_surface,preemption_right,access_for_disabled,bedroom_1_surface,bedroom_2_surface,gas_connection,epc_validity_date,sewer_connection,epc_reference,co2_emission,entry_phone,urbanism_affectation,attic,kitchen_surface,bedroom_3_surface,yearly_primary_energy_consumption,frontage_width,building_permission_granted,kitchen_type,alarm,terrace_orientation,planning_permission_granted,bathroom_surface,p_score,g_score,terrain_width_at_roadside,security_door,protected_heritage,bedroom_4_surface,buildable_surface,veranda,rain_water_tank,floor_heating,as_build_certificate,diningroom,ground_depth,diningroom_surface,fireplace,electric_charging_station,hammam_sauna_jacuzzi,water_sensitive_area,domotica,cellar_surface,wash_room,solar_thermic_panels,bedroom_5_surface,gasoil_tank_certificate,low_energy_house,garage_surface,office_surface,attic_surface,individual_water_meter,water_softener,motorized_garage_door,bike_storage,electronic_key,dressing,electrical_certificate_validity,dressing_surface,opportunity_for_professional,bi_hourly_counter,adaptations_for_elderlies,total_surface,individual_electric_meter,level_e,veranda_surface,service_apartment,individual_gas_meter,barbecue,electricity_connection,gasoil_tank_certificate_validity,urbanism_infraction_description,nursery_nearest_walk_m,preschool_nearest_walk_m,elementary_school_nearest_walk_m,high_school_nearest_walk_m,bus_stop_nearest_walk_m,tram_stop_nearest_walk_m,train_station_nearest_walk_m,train_station_nearest_drive_m,motorway_nearest_drive_m,airport_nearest_drive_m,charging_station_nearest_drive_m,supermarket_nearest_walk_m,supermarket_count,car_sharing_nearest_walk_m,bike_sharing_nearest_walk_m
RAG22650,7049984,https://immovlan.be/en/detail/studio/for-sale/8670/sint-idesbald/rag22650,ImmoVlan,2026-06-15,2017-02-14,data_html/raw/html/rag/rag22650.html,flat_studio,appartment,for-sale,0,159000,0,837,Koninklijke Baan,359,8670,Sint-Idesbald,West Flanders,Flanders,51.1083644,2.6076405,1,55,,,1,,1,3,,0,0,Normal,,,,,,,,1,,,0,,,1,,,1,,,,0,,1,,no flooding area,(information not available),3,,,,,1,,,,23/02/2027,,20170223-0001936916-1,,,,0,,,230,,,,1,,,,,,,,,,55,0,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1800,1800,1800,2400,632,479,4500,5100,6000,26100,2100,353,3,,437
RAH80542,7451586,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rah80542,ImmoVlan,2026-06-15,2018-04-04,data_html/raw/html/rah/rah80542.html,flat,appartment,for-sale,1,356000,1,,Gelatineboulevard,2,3500,Hasselt,Limburg,Flanders,50.9354807,5.3359107,2,100,,,1,,,4,,0,,New,,,1,,,0,FlandersDoubleA,0,,,1,,South-west,1,50,,1,,,,,,1,,(information not available),(information not available),7,,,,,,,,,,,,,,Area info not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,298,298,248,181,,957,1100,2400,,1100,485,3,543,627
RAI26618,7561749,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rai26618,ImmoVlan,2026-06-15,2018-07-24,data_html/raw/html/rai/rai26618.html,flat,appartment,for-sale,1,637000,1,,Gelatineboulevard,4,3500,Hasselt,Limburg,Flanders,50.9353863,5.3361143,3,167,,,2,,,6,,0,,New,,,,,,0,FlandersDoubleA,0,,South-west,1,,South-west,1,52,,1,,,,,,,,(information not available),(information not available),7,,,,,,,,,,,,,,Area info not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,310,310,260,169,,969,1000,2400,,1100,473,3,555,615
RAI27127,7563024,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rai27127,ImmoVlan,2026-06-15,2018-07-26,data_html/raw/html/rai/rai27127.html,flat,appartment,for-sale,0,1335000,0,745,Zeedijk,435,8670,Koksijde,West Flanders,Flanders,51.1328167,2.6702454,2,133,,,2,,1,5,,,0,To be renovated,,,,,,,,0,,North-west,,,,1,,,1,,,,1,,1,,no flooding area,(information not available),8,,,,,0,,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,2100,2100,2800,217,217,8200,8700,8500,21600,3600,167,3,,221
RAI38199,7591687,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rai38199,ImmoVlan,2026-06-15,2018-08-28,data_html/raw/html/rai/rai38199.html,flat,appartment,for-sale,1,517000,1,,Gelatineboulevard,9,3500,Hasselt,Limburg,Flanders,50.9358669,5.3363319,2,128,,,1,,,2,,0,,New,,,,,,0,FlandersDoubleA,0,,East,1,,East,1,34,,1,,,,,,,,(information not available),(information not available),3,,,,,,,,,,,,,,Area info not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,398,398,348,256,,1100,2200,5400,,2200,405,3,600,680
RAI78358,7696467,https://immovlan.be/en/detail/apartment/for-sale/8700/tielt/rai78358,ImmoVlan,2026-06-15,2018-11-29,data_html/raw/html/rai/rai78358.html,flat,appartment,for-sale,0,295000,0,,Kroonstraat,1,8700,Tielt,West Flanders,Flanders,50.9933558,3.3288892,2,80,,Fully equipped,1,,1,2,2016,0,,New,Gas,Double glass,,,,84,FlandersSingleA,1,,,0,,,0,,,,,,,,,1,,no flooding area,(information not available),4,,,26,,,15,9,1,,,,,1,"Residential zone (residential, urban)",,10,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,221,221,38,280,,394,465,,32200,2100,311,3,394,413
RAJ04351,7756327,https://immovlan.be/en/detail/apartment/for-sale/8700/tielt/raj04351,ImmoVlan,2026-06-15,2019-02-06,data_html/raw/html/raj/raj04351.html,flat,appartment,for-sale,0,305000,0,,Kroonstraat,1,8700,Tielt,West Flanders,Flanders,50.9933558,3.3288892,2,70,,Fully equipped,1,,1,2,2016,0,,New,Gas,Double glass,,,,71,FlandersSingleA,1,,,0,,,0,,,,,,,,,1,,no flooding area,(information not available),4,,,26,,,15,9,1,,,,,1,"Residential zone (residential, urban)",,10,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,221,221,38,280,,394,465,,32200,2100,311,3,394,413
RAJ23760,7803711,https://immovlan.be/en/detail/penthouse/for-sale/3500/hasselt/raj23760,ImmoVlan,2026-06-15,2019-03-22,data_html/raw/html/raj/raj23760.html,penthouse,appartment,for-sale,1,499000,1,,Gelatineboulevard,4,3500,Hasselt,Limburg,Flanders,50.9353863,5.3361143,2,117,,,1,,,7,,0,,New,,,1,,,0,FlandersDoubleA,0,,South-west,1,,South-west,1,35,,1,,,,,,,,(information not available),(information not available),7,,,,,,,,,,,,,1,Area info not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,310,310,260,169,,969,1000,2400,,1100,473,3,555,615
RAJ23761,7803712,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/raj23761,ImmoVlan,2026-06-15,2019-03-22,data_html/raw/html/raj/raj23761.html,flat,appartment,for-sale,1,451000,1,,Gelatineboulevard,4,3500,Hasselt,Limburg,Flanders,50.9353863,5.3361143,2,120,,,1,,,5,,0,,New,,,,,,0,FlandersDoubleA,0,,South-west,1,,South-west,1,50,,1,,,,,,,,(information not available),(information not available),7,,,,,,,,,,,,,,Area info not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,310,310,260,169,,969,1000,2400,,1100,473,3,555,615
RAJ78605,7916223,https://immovlan.be/en/detail/villa/for-sale/1790/affligem/raj78605,ImmoVlan,2026-06-15,2019-08-02,data_html/raw/html/raj/raj78605.html,villa,house,for-sale,0,670000,0,2,,,1790,Affligem,Flemish Brabant,Flanders,50.9084,4.11281,3,480,,Super equipped,1,1,,,1995,0,0,Normal,Fuel oil,,,,,176,FlandersB,,4,,0,,,0,,,1,1,,,,1,0,1,possible flooding area,(information not available),,,1649,,,,,,,18/01/2021,,739240-00000001-0,,,,,,,,20,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,466,466,3600,414,,3600,3700,7400,,7100,846,3,4800,
